ID,X,Y,Conifer,Broadleaf,C3,C4,human
0,0,0,0.53130615,0.8471799,0.571943,0.16775295,0.689243
1,0,1,0.88496375,0.46565992,0.4109158,0.6147275,0.20965192
2,0,2,0.09996774,0.9949907,0.36443448,0.7197944,0.44751146
3,0,3,0.6629846,0.748633,0.33711872,0.7721016,0.7058088
4,0,4,0.99373305,0.11177926,0.31284684,0.8127924,0.4409769
5,0,5,0.67340684,0.7392721,0.29809368,0.83496714,0.032932654
6,0,6,0.66172415,0.7497474,0.27420235,0.8669893,0.70573574
7,0,7,0.9782794,0.20729049,0.26045027,0.88335633,0.38549447
8,0,8,0.6926411,0.7212824,0.25363165,0.8909399,0.014320648
9,0,9,0.19996817,0.97980237,0.24374808,0.9013297,0.5898853
10,1,0,0.9990318,0.043994244,0.4473007,0.51945776,0.521513
11,1,1,0.082796425,0.9965665,0.35769412,0.73335373,0.53968143
12,1,2,0.5945888,0.80402994,0.33969733,0.7674622,0.69930935
13,1,3,0.9945061,0.10467819,0.31781211,0.8049005,0.5495922
14,1,4,0.7999232,0.60010237,0.30172217,0.8296877,0.099910416
15,1,5,0.58386475,0.81185097,0.27562988,0.865206,0.69785786
16,1,6,0.8668653,0.49854243,0.26970327,0.8725047,0.68270385
17,1,7,0.8845687,0.46640998,0.25721693,0.88699543,0.20907934
18,1,8,0.2103707,0.9776217,0.2436464,0.90143293,0.5939962
19,1,9,0.9759601,0.21794945,0.22994198,0.91469556,0.3790053
20,2,0,0.8828907,0.4695785,0.41065502,0.61537164,0.2066561
21,2,1,0.07028589,0.9975269,0.36330637,0.72209364,0.4636205
22,2,2,0.76442254,0.6447156,0.33300784,0.77937067,0.70456904
23,2,3,0.47736523,0.87870497,0.29365873,0.84126806,0.20066988
24,2,4,0.016619092,0.9998619,0.28490505,0.85322237,0.5082405
25,2,5,0.6616398,0.74982184,0.27420393,0.8669873,0.7057308
26,2,6,0.9086185,0.41762716,0.2578426,0.88629735,0.24549568
27,2,7,0.3492419,0.9370326,0.24227475,0.9028188,0.6431373
28,2,8,0.9994893,0.03195438,0.23195748,0.9128253,0.51572186
29,2,9,0.7440692,0.66810256,0.22601402,0.91826284,0.03798331
30,3,0,0.5100237,0.86016035,0.34275925,0.7618731,0.68509203
31,3,1,0.7976101,0.60317343,0.33154702,0.78191626,0.70039177
32,3,2,0.8429566,0.5379816,0.30322155,0.8274732,0.15248749
33,3,3,0.5073244,0.86175513,0.29427806,0.84039813,0.17721537
34,3,4,0.9892105,0.14650132,0.26482072,0.87831235,0.5678559
35,3,5,0.7056759,0.7085347,0.2538312,0.8907228,0.0014294108
36,3,6,0.28648216,0.9580856,0.24861471,0.89630157,0.33580172
37,3,7,0.59156805,0.8062551,0.23972765,0.90535736,0.69891155
38,3,8,0.87731373,0.47991732,0.22775955,0.9166902,0.1986982
39,3,9,0.0779853,0.9969545,0.22056165,0.9230472,0.4594846
