ID,X,Y,Agent,Utility,Food,Timber,Carbon
23,2,3,Forest,0.0,0.044878505765022954,0.399220321575225,0.4540106430222
58,5,8,Crop,0.0,0.33427284168592136,0.0,0.13947653286266928
33,3,3,Crop,0.0,0.3812652856509201,0.0,0.14646962177452727
96,9,6,Crop,0.0,0.2855838022109463,0.0,0.13227242764924538
16,1,6,Forest,0.0,0.04914099364601954,0.5945789010554766,0.6209014538618647
95,9,5,Forest,0.0,0.048107472951978036,0.15594538768275884,0.1371756071053641
18,1,8,Crop,0.0,0.2753485964363934,0.0,0.13107945293104478
68,6,8,Pasture,0.0,0.2641995742845155,0.0,0.21210675640851115
25,2,5,Pasture,0.0,0.33723034250260264,0.0,0.2376599807851197
45,4,5,Pasture,0.0,0.3194991447960293,0.0,0.23119197309606956
67,6,7,Forest,0.0,0.04890567453592151,0.44108475897596733,0.44335425511706683
97,9,7,Forest,0.0,0.04897437974702766,0.48480379446894495,0.4933151001438934
52,5,2,Forest,0.0,0.04809110268527028,0.16366980798400851,0.1451248747532015
35,3,5,Forest,0.0,0.04292604289741187,0.34418698223454197,0.4110953724700683
83,8,3,Pasture,0.0,0.19420567207750958,0.0,0.1884555008060809
43,4,3,Forest,0.0,0.048609494971857826,0.257185545661251,0.24026727342856816
36,3,6,Crop,0.0,0.3380344763377335,0.0,0.14030269215481947
80,8,0,Pasture,0.0,0.25764810262752336,0.0,0.21249149486756516
59,5,9,Forest,0.0,0.04656855893302969,0.4036588512019048,0.4331841631276705
90,9,0,Forest,0.0,0.04841612126157466,0.128447520282675,0.10853814224661078
86,8,6,Forest,0.0,0.042958203106450134,0.3451579223983952,0.411935104385154
6,0,6,Forest,0.0,0.04851391263627492,0.1961544543891246,0.17633045550700352
51,5,1,Pasture,0.0,0.32073147473040675,0.0,0.23389900175786194
44,4,4,Crop,0.0,0.19514555638716588,0.0,0.11691736765976926
9,0,9,Pasture,0.0,0.27320454772556385,0.0,0.2174744354854268
48,4,8,Crop,0.0,0.3247150842529661,0.0,0.1381906674521225
30,3,0,Pasture,0.0,0.37319838396873006,0.0,0.25105594237497003
29,2,9,Forest,0.0,0.0410888884597857,0.2903409278797174,0.3625566676684089
