ID,X,Y,Agent,Utility,Food,Timber,Carbon
54,5,4,Forest,0.02277763334575417,0.0451343792700018,0.4045950196928464,0.45685557143224237
3,0,3,Forest,0.04057475663696947,0.04894034447136811,0.46305150473463474,0.46839066776757166
16,1,6,Forest,0.036710318110687166,0.048762298648890465,0.35175812918251803,0.34309393731060805
31,3,1,Forest,0.03966817889974383,0.04866647182814742,0.2926132685948772,0.2783190493156402
45,4,5,Pasture,0.008815871398017865,0.22741769562083297,0.0,0.20222138905463127
0,0,0,Forest,0.037803586271563924,0.04904860229507276,0.5329772947566669,0.5489519446057491
35,3,5,Forest,0.0139505092476097,0.048363884156579884,0.08674326263743849,0.06912267132129626
8,0,8,Forest,0.020675233524012654,0.046688188674920035,0.3990790750914372,0.4257500970101801
18,1,8,Crop,0.00901869991952468,0.33711796182175124,0.0,0.1401769277941879
60,6,0,Crop,0.007897418417988177,0.20690013813771263,0.0,0.1197044032428703
38,3,8,Forest,0.029049301003173697,0.048300604439604294,0.01310517411235883,0.007824745744279833
12,1,2,Forest,0.03948709088889689,0.04900198067781015,0.5025936817911077,0.5137927869841211
86,8,6,Forest,0.039992096156184945,0.04845979401122624,0.15973850271357523,0.13938000782266588
53,5,3,Pasture,0.01133974131165185,0.3361242105584104,0.0,0.2373303327752694
4,0,4,Forest,0.013697220640233588,0.04783513000854006,0.2540473234731668,0.24311307965495657
37,3,7,Crop,0.009284415715684693,0.3576672032529648,0.0,0.14287455700877533
56,5,6,Crop,0.008085577387643829,0.35396816560459277,0.0,0.14237236519312516
79,7,9,Pasture,0.008976013365019977,0.14085688547124808,0.0,0.1647810721157585
62,6,2,Forest,0.039448442858143695,0.04902960245971391,0.5205421140449845,0.534534749070306
50,5,0,Crop,0.007581890738735509,0.35784700462820895,0.0,0.14398801290239616
22,2,2,Forest,0.04036723315951095,0.04875364956141609,0.3464190715596054,0.3371888783457274
94,9,4,Crop,0.007008594548609241,0.23110109476468413,0.0,0.12344487322982939
65,6,5,Pasture,0.011247547471065497,0.32947345841362,0.0,0.23368267160750197
41,4,1,Crop,0.009081479074743739,0.34545012443576645,0.0,0.1422691682887
76,7,6,Forest,0.016128932905462426,0.047849585476409745,0.2500435914138045,0.2385811282224422
26,2,6,Forest,0.028090635452163823,0.042882685763203324,0.342878287789886,0.4099610126076578
2,0,2,Forest,0.012775159581562457,0.04620216132794852,0.4117116678174883,0.44886180624060473
95,9,5,Forest,0.011737913004941931,0.04885055498026312,0.4065018680451902,0.40422875422992827
25,2,5,Pasture,0.0118254367350026,0.3310155481346745,0.0,0.23581019122715
51,5,1,Pasture,0.008541198498921827,0.23186153429577233,0.0,0.20584793716627917
83,8,3,Pasture,0.011152908078151863,0.33020676342643535,0.0,0.23394365295960876
74,7,4,Forest,0.030210727397006636,0.04912096147813722,0.5810543459441555,0.6050324053059032
93,9,3,Crop,0.00926291391987832,0.36257860799611563,0.0,0.1435444804862334
75,7,5,Pasture,0.009237863474951855,0.27653410942687606,0.0,0.2173956937726226
85,8,5,Forest,0.005199135906154408,0.04291406722049104,0.3438254710617918,0.41078230649374375
97,9,7,Forest,0.026610765948176546,0.04284430881533682,0.341720299850291,0.4089549223764891
5,0,5,Forest,0.02381462544574833,0.04797798582345809,0.20945443581260284,0.19364000764535927
14,1,4,Pasture,0.008891574017442682,0.2584887702610309,0.0,0.21491652371381723
58,5,8,Crop,0.00816701422490324,0.29145753059214025,0.0,0.133321087531003
52,5,2,Crop,0.004676848751797263,0.37684706800638107,0.0,0.14592551953408894
49,4,9,Forest,0.04062921011866988,0.04890463510744399,0.440428892499608,0.44260887534831006
36,3,6,Crop,0.008059323363020576,0.3439788434857144,0.0,0.14111220810374447
47,4,7,Pasture,0.009317737569049534,0.3235877587701669,0.0,0.23185963901543682
66,6,6,Crop,0.008457604973893475,0.24706944787415436,0.0,0.12622888017627262
72,7,2,Pasture,0.00925883094330826,0.19192316869920042,0.0,0.18911190449770932
61,6,1,Pasture,0.011558634627571323,0.336010202808699,0.0,0.2380999373913034
69,6,9,Crop,0.008434534369981227,0.17599303953262796,0.0,0.11258580268269258
57,5,7,Forest,0.007359557161829343,0.0455309321316562,0.41081667048369,0.45844697947701696
68,6,8,Pasture,0.010976210747821883,0.3085240193798062,0.0,0.22594863448257116
15,1,5,Forest,0.03924427034900493,0.048803437149833206,0.37720283004085947,0.37137999180915476
88,8,8,Forest,0.0225926438782639,0.046802938107113216,0.3935616657784808,0.41730756770775496
39,3,9,Pasture,0.010352177450990076,0.2974335258170426,0.0,0.2231558840760847
46,4,6,Pasture,0.011176269078544026,0.32879476616169717,0.0,0.23367875151314477
33,3,3,Crop,0.007429227658114141,0.3515985517421098,0.0,0.14267017365815055
43,4,3,Forest,0.03890304023248303,0.04874398429276078,0.34045525576232194,0.3306056843634752
73,7,3,Pasture,0.00884464124298606,0.27218207467637817,0.0,0.21715280132472015
59,5,9,Forest,0.03922968417477235,0.04900773342912479,0.5063195688074434,0.5180919273047901
21,2,1,Forest,0.01024723265461707,0.048888786955355576,0.4304479033280559,0.43128139886811945
34,3,4,Forest,0.017054539594557962,0.0490498194767444,0.5337764316587644,0.5498797289355295
98,9,8,Pasture,0.009776144257459044,0.25763142337139566,0.0,0.2095949909220665
48,4,8,Crop,0.006871467796349057,0.2772883051154715,0.0,0.1311303126782015
89,8,9,Forest,0.015474744515093928,0.04793709783030119,0.22346161532198444,0.20894487905571568
78,7,8,Forest,0.023373594955063397,0.04810968599812477,0.1548745060354607,0.13607915963673295
87,8,7,Crop,0.008099466197041794,0.292218493132637,0.0,0.133339978919599
81,8,1,Crop,0.009253005549163576,0.34802539454709475,0.0,0.1418885509527976
6,0,6,Forest,0.04056252984650513,0.04873964337874062,0.3377774257887556,0.3276542244045828
91,9,1,Forest,0.027746604734903153,0.04565449992874808,0.41206126152155914,0.45804017392831553
44,4,4,Crop,0.007772245730566709,0.3422896927504169,0.0,0.14109631426148575
77,7,7,Pasture,0.010866247731204063,0.31602803118962824,0.0,0.22838494885909574
64,6,4,Forest,0.013818419389553136,0.048875575799074644,0.4221531193133728,0.42189040391783444
67,6,7,Forest,0.028945481518956654,0.04854096487420912,0.21374007151654986,0.19451835868433487
13,1,3,Forest,0.013637706669264543,0.04680816604466129,0.39328157775303063,0.4168896824827912
90,9,0,Forest,0.021003072708295364,0.04781920955844568,0.25834281262291287,0.24799554794388656
84,8,4,Pasture,0.009220308501040494,0.31994070699927313,0.0,0.23075865472415902
24,2,4,Forest,0.00430715191949601,0.047681755288300744,0.29105740730628965,0.2858986782915574
28,2,8,Forest,0.006366137258172387,0.04912469051814834,0.5835646405718402,0.6079748689408208
63,6,3,Pasture,0.009695443114278583,0.27980448147302406,0.0,0.22012017010281723
7,0,7,Crop,0.008415752923698588,0.286653251070685,0.0,0.13294407082188084
9,0,9,Pasture,0.011103163898086727,0.32977683958173976,0.0,0.23378502423798947
96,9,6,Crop,0.008958403312237654,0.313385442753152,0.0,0.13649404047499744
10,1,0,Crop,0.009494551932082436,0.36914280078319095,0.0,0.15014861247688704
11,1,1,Crop,0.009728945209869767,0.2446871196933433,0.0,0.12843989025939556
29,2,9,Forest,0.024386324602695405,0.04529471321467274,0.40746815888460775,0.4579700783300055
20,2,0,Forest,0.02894428985303767,0.042628577008646855,0.3352224520340812,0.40327050204141524
55,5,5,Crop,0.009271852397433934,0.36210767711040426,0.0,0.1435053669350315
82,8,2,Pasture,0.00889823999837089,0.2915317001476492,0.0,0.22310409243157242
71,7,1,Pasture,0.011809861074655596,0.33946248449928107,0.0,0.23832670228539635
