ID,X,Y,Conifer,Broadleaf,C3,C4,human
0,0,0,0.33558962,0.9420083,0.6309128,0.053825803,0.63879895
1,0,1,0.99953294,0.030559864,0.44621727,0.5224359,0.5150464
2,0,2,0.14780425,0.98901665,0.366287,0.7159925,0.4206062
3,0,3,0.3658646,0.9306681,0.34780902,0.75246435,0.6482663
4,0,4,0.8819303,0.47137988,0.32737112,0.7890854,0.67665505
5,0,5,0.72639734,0.687275,0.29950622,0.83292526,0.019561162
6,0,6,0.09873128,0.99511415,0.28358516,0.8549701,0.5469227
7,0,7,0.97327685,0.22963482,0.2658975,0.8770473,0.60145587
8,0,8,0.69334996,0.720601,0.2536424,0.8909282,0.01362553
9,0,9,0.32647693,0.94520515,0.24904564,0.89584816,0.3093641
10,1,0,0.9768843,0.21376874,0.4279909,0.571301,0.3815578
11,1,1,0.88646615,0.4627935,0.41110653,0.6142559,0.21183632
12,1,2,0.74189174,0.6705197,0.33396095,0.7776992,0.7062057
13,1,3,0.9418986,0.33589748,0.32358122,0.7954544,0.638898
14,1,4,0.9191382,0.39393526,0.3065468,0.8224927,0.26260146
15,1,5,0.35964346,0.9330898,0.2794102,0.8604053,0.64636666
16,1,6,0.7109438,0.7032488,0.27324614,0.86817473,0.70709634
17,1,7,0.50629896,0.86235803,0.25111353,0.89365387,0.17802954
18,1,8,0.39503413,0.9186664,0.24980575,0.8950452,0.26181614
19,1,9,0.8918594,0.45231277,0.23560382,0.90937215,0.67208606
20,2,0,0.5541555,0.83241314,0.3848818,0.67603856,0.1391288
21,2,1,0.7255821,0.68813556,0.3346346,0.7765128,0.7068589
22,2,2,0.93934155,0.34298325,0.32377008,0.7951401,0.6411624
23,2,3,0.58248585,0.8128409,0.29591313,0.8380859,0.11517751
24,2,4,0.54932404,0.83560944,0.27623814,0.8644413,0.69246674
25,2,5,0.9368424,0.3497518,0.26752234,0.8751216,0.6432971
26,2,6,0.42782,0.90386397,0.25018045,0.89464784,0.23802198
27,2,7,0.32065398,0.9471964,0.24256003,0.9025317,0.6339252
28,2,8,0.9317796,0.36302447,0.23477168,0.9101681,0.64740205
29,2,9,0.72655976,0.68710333,0.22582157,0.918435,0.019728214
30,3,0,0.55952436,0.8288139,0.34098044,0.7651307,0.69416916
31,3,1,0.99455196,0.1042419,0.3178018,0.80491716,0.54939693
32,3,2,0.9379426,0.3467904,0.30760744,0.820884,0.29557613
33,3,3,0.42305565,0.90610373,0.27837348,0.86173326,0.6645797
34,3,4,0.98604465,0.16648105,0.26507664,0.8780125,0.57626283
35,3,5,0.75283885,0.6582049,0.25459102,0.8898937,0.04731698
36,3,6,0.07101944,0.9974749,0.24500588,0.9000463,0.53424716
37,3,7,0.9496304,0.31337225,0.23432691,0.91059166,0.6315013
38,3,8,0.73363304,0.6795459,0.2258986,0.91836613,0.027043566
39,3,9,0.106727675,0.99428827,0.22076063,0.92287594,0.4437803
40,4,0,0.98008394,0.19858363,0.3109094,0.81581265,0.39075017
41,4,1,0.7825921,0.6225348,0.3011664,0.8305037,0.08002865
42,4,2,0.024369862,0.999703,0.2847798,0.85338885,0.51203644
43,4,3,0.98885024,0.14891358,0.26485154,0.8782763,0.56888187
44,4,4,0.7830367,0.62197554,0.2551149,0.88931954,0.080530584
45,4,5,0.22442757,0.97449076,0.24350883,0.9015725,0.5994592
46,4,6,0.93203765,0.36236146,0.23476568,0.91017383,0.6471996
47,4,7,0.85465837,0.5191908,0.22741356,0.91700345,0.16773377
48,4,8,0.12511222,0.9921426,0.21917535,0.92423314,0.5586274
49,4,9,0.8060819,0.591804,0.21391466,0.9286226,0.69894296
50,5,0,0.8323786,0.5542074,0.3028349,0.82804614,0.1390856
51,5,1,0.044657934,0.99900234,0.28590205,0.85189277,0.4771722
52,5,2,0.9968965,0.07872329,0.26201877,0.8815627,0.4590866
53,5,3,0.907931,0.4191196,0.25782362,0.88631856,0.24440572
54,5,4,0.29238284,0.95630133,0.24867778,0.8962353,0.33195925
55,5,5,0.9397558,0.3418465,0.2345806,0.91035026,0.64080113
56,5,6,0.9973382,0.072914876,0.23111,0.913615,0.46221164
57,5,7,0.0632744,0.99799615,0.2195955,0.923875,0.5306353
58,5,8,0.92976624,0.36815038,0.21233824,0.9299043,0.6489583
59,5,9,0.90592515,0.42343786,0.20757034,0.9336875,0.24124365
60,6,0,0.0923772,0.9957241,0.28668845,0.85083824,0.45167345
61,6,1,0.89146334,0.4530928,0.26901203,0.8733381,0.6722781
62,6,2,0.48004472,0.877244,0.2507951,0.8939938,0.19859965
63,6,3,0.35791993,0.9337523,0.24218774,0.9029063,0.6458361
64,6,4,0.654882,0.75573117,0.23899724,0.906077,0.7053066
65,6,5,0.9581575,0.2862416,0.22938696,0.9152058,0.33595794
66,6,6,0.3221191,0.94669914,0.2178237,0.9253776,0.6344091
67,6,7,0.93793905,0.34680018,0.21219945,0.93001634,0.6423696
68,6,8,0.9687063,0.24820966,0.208631,0.93285793,0.36024833
69,6,9,0.35264543,0.93575704,0.20335135,0.93692046,0.2915558
70,7,0,0.9789678,0.20401491,0.26556218,0.87744224,0.59149134
71,7,1,0.62957376,0.7769407,0.25271752,0.89193046,0.07368346
72,7,2,0.3366223,0.9416398,0.24240091,0.9026919,0.639131
73,7,3,0.95336556,0.30181795,0.23422496,0.9106885,0.6275918
74,7,4,0.77204233,0.6355711,0.22633478,0.9179753,0.06823558
75,7,5,0.08454363,0.9964198,0.21945097,0.9239983,0.5404817
76,7,6,0.6196886,0.78484786,0.21561226,0.9272252,0.7022682
77,7,7,0.774254,0.63287497,0.20618597,0.93476015,0.07068952
78,7,8,0.075383805,0.9971546,0.20109253,0.93860775,0.5362692
79,7,9,0.8450554,0.53467876,0.19652724,0.9419267,0.6898671
80,8,0,0.42092898,0.9070936,0.25010103,0.8947321,0.24308231
81,8,1,0.22997762,0.9731959,0.24801892,0.8969262,0.37160915
82,8,2,0.6276981,0.77845687,0.23931575,0.9057636,0.7030775
83,8,3,0.6078056,0.79408586,0.22464174,0.91948515,0.09314014
84,8,4,0.048164196,0.99883944,0.21969827,0.92378724,0.5235018
85,8,5,0.5247407,0.8512621,0.21635722,0.92660624,0.6880014
86,8,6,0.75350463,0.65744257,0.20600866,0.93489665,0.048031047
87,8,7,0.11114636,0.99380404,0.20090999,0.93874276,0.5524752
88,8,8,0.71482384,0.6993046,0.19752881,0.9412089,0.7070642
89,8,9,0.9916396,0.12903813,0.19450793,0.94335634,0.56033885
90,9,0,0.051930923,0.99865067,0.24519238,0.899855,0.5252908
91,9,1,0.8415328,0.54020596,0.23647593,0.90853286,0.6908694
92,9,2,0.6589701,0.75216913,0.22512707,0.91905427,0.046599522
93,9,3,0.31587917,0.94879943,0.2222576,0.92157966,0.31646013
94,9,4,0.8916701,0.4526858,0.21290441,0.92944574,0.672178
95,9,5,0.9973396,0.07289522,0.20965977,0.9320467,0.4622222
96,9,6,0.15355183,0.9881406,0.2022723,0.93773025,0.41729438
97,9,7,0.40861607,0.9127064,0.19935885,0.9398824,0.6606612
98,9,8,0.84896857,0.52844334,0.19145305,0.945475,0.16026263
99,9,9,0.5382645,0.84277594,0.18955012,0.9467681,0.15225573
