ID,X,Y,Conifer,Broadleaf,C3,C4,human
0,0,0,0.9989925,0.044877514,0.44031575,0.5385198,0.4770575
1,0,1,0.41629186,0.90923107,0.3778026,0.6916326,0.24646959
2,0,2,0.56970525,0.8218491,0.34061012,0.7658052,0.6957772
3,0,3,0.96394557,0.26609945,0.32176554,0.79845965,0.61502254
4,0,4,0.71914107,0.6948641,0.2993051,0.833217,0.012138473
5,0,5,0.8734177,0.4869718,0.30441839,0.82569164,0.19322294
6,0,6,0.99758565,0.06944723,0.26213223,0.8814323,0.4640692
7,0,7,0.9133242,0.40723333,0.26833832,0.87414676,0.66027874
8,0,8,0.49463683,0.86909974,0.25097126,0.89380586,0.18723145
9,0,9,0.9947454,0.10237968,0.23253344,0.9122858,0.5485625
10,1,0,0.9661099,0.25813124,0.46632543,0.4660192,0.61212057
11,1,1,0.55753803,0.8301514,0.3410525,0.76499933,0.69384474
12,1,2,0.94053245,0.3397038,0.32368258,0.79528576,0.6401181
13,1,3,0.8063761,0.59140307,0.30193546,0.8293739,0.107486494
14,1,4,0.5788751,0.8154162,0.29583156,0.83820176,0.118270546
15,1,5,0.091636494,0.9957925,0.28667617,0.85085475,0.452078
16,1,6,0.7276934,0.6859026,0.2729084,0.8685918,0.70679796
17,1,7,0.1366532,0.99061894,0.2443658,0.9007008,0.56363606
18,1,8,0.3226315,0.9465246,0.24900384,0.8958922,0.31194657
19,1,9,0.9744962,0.22440402,0.22988975,0.91474366,0.37504607
20,2,0,0.10706116,0.99425244,0.35682946,0.73506206,0.5506568
21,2,1,0.14730923,0.9890905,0.35540628,0.7378586,0.5681999
22,2,2,0.87025285,0.4926053,0.30428746,0.82588714,0.18882377
23,2,3,0.9215821,0.3881835,0.30667672,0.82229626,0.26669928
24,2,4,0.98964185,0.14355825,0.26478314,0.87835634,0.5666001
25,2,5,0.93982226,0.3416637,0.25879717,0.88522667,0.2990793
26,2,6,0.67733,0.7356793,0.2534023,0.89118904,0.02917466
27,2,7,0.62225527,0.7828144,0.23937859,0.90570176,0.70253485
28,2,8,0.80815816,0.58896554,0.23698953,0.9080361,0.69856185
29,2,9,0.46410057,0.88578254,0.22340532,0.920576,0.21084097
30,3,0,0.9931085,0.1171984,0.3127254,0.8129827,0.43795505
31,3,1,0.94678384,0.32187003,0.30816498,0.8200344,0.3124569
32,3,2,0.57212186,0.8201686,0.2956799,0.8384171,0.124023385
33,3,3,0.41461918,0.909995,0.27851245,0.8615557,0.6623071
34,3,4,0.972394,0.23334497,0.26594636,0.8769897,0.6028695
35,3,5,0.34022447,0.9403443,0.24236494,0.9027281,0.64028436
36,3,6,0.7881438,0.61549115,0.23727997,0.9077544,0.70181745
37,3,7,0.7817756,0.6235599,0.22645073,0.91787124,0.07910786
38,3,8,0.84872186,0.52883947,0.22732739,0.9170814,0.15994123
39,3,9,0.7874697,0.6163534,0.21410675,0.92846537,0.7019115
40,4,0,0.8511715,0.52488774,0.32899496,0.7863165,0.6880296
41,4,1,0.5615737,0.82742673,0.2760239,0.8647109,0.6945002
42,4,2,0.57830644,0.8158196,0.27572864,0.865082,0.697063
43,4,3,0.99977434,0.021243067,0.26324776,0.8801444,0.5105087
44,4,4,0.9199861,0.391951,0.25816756,0.8859336,0.26401755
45,4,5,0.75609934,0.65445685,0.2377232,0.9073234,0.7052781
46,4,6,0.91747355,0.39779675,0.23509033,0.9098639,0.65763515
47,4,7,0.99036723,0.13846558,0.23058276,0.91410387,0.42595083
48,4,8,0.4361555,0.8998713,0.2170137,0.9260579,0.6680134
49,4,9,0.78053993,0.6251059,0.20624116,0.9347176,0.077716984
50,5,0,0.04814497,0.99884033,0.28439653,0.8538974,0.5234927
51,5,1,0.5900666,0.80735457,0.27551922,0.8653448,0.69871056
52,5,2,0.717503,0.6965554,0.25401592,0.89052165,0.010473824
53,5,3,0.74476796,0.6673235,0.25445634,0.890041,0.038722213
54,5,4,0.6525799,0.75771993,0.23902452,0.9060502,0.7051499
55,5,5,0.8178663,0.5754082,0.23684424,0.90817684,0.6966373
56,5,6,0.2784322,0.9604559,0.22198132,0.92182,0.34101185
57,5,7,0.52165335,0.8531575,0.223882,0.9201566,0.1657521
58,5,8,0.9607936,0.2772645,0.20845845,0.93299335,0.34176457
59,5,9,0.96264976,0.27074984,0.20849723,0.93296295,0.34594995
60,6,0,0.3669927,0.9302238,0.2792909,0.86055857,0.64860827
61,6,1,0.7753668,0.63151115,0.25497866,0.8894691,0.071927816
62,6,2,0.3643399,0.93126607,0.24212325,0.9029711,0.64780295
63,6,3,0.90935117,0.41602945,0.23526005,0.9097015,0.6626903
64,6,4,0.9542642,0.29896444,0.23419987,0.91071236,0.62661433
65,6,5,0.9017895,0.43217558,0.22817124,0.91631633,0.23480695
66,6,6,0.94895107,0.3154234,0.21199809,0.93017876,0.63218725
67,6,7,0.7359796,0.6770037,0.2146056,0.928056,0.70649165
68,6,8,0.9787891,0.20487039,0.20888683,0.9326568,0.38695937
69,6,9,0.17180073,0.98513174,0.2023683,0.9376585,0.4066655
70,7,0,0.99252725,0.12202308,0.26450932,0.87867653,0.5572752
71,7,1,0.43723702,0.8993463,0.2502896,0.8945319,0.23105465
72,7,2,0.9344022,0.35621965,0.23471005,0.9102269,0.64531094
73,7,3,0.70534205,0.7088671,0.23838206,0.9066803,0.70710456
74,7,4,0.5973178,0.80200464,0.22454573,0.9195702,0.1023434
75,7,5,0.8654627,0.5009733,0.21324214,0.92917126,0.683218
76,7,6,0.94630504,0.32327503,0.2120482,0.9301384,0.63479006
77,7,7,0.785798,0.61848325,0.2062879,0.93468153,0.08365737
78,7,8,0.67069566,0.74173266,0.19782352,0.9409966,0.70621413
79,7,9,0.7020875,0.7120907,0.19761553,0.9411465,0.70708907
80,8,0,0.79317105,0.60899895,0.25529864,0.8891177,0.09208604
81,8,1,0.76535857,0.6436041,0.2375976,0.90744567,0.70448136
82,8,2,0.7639429,0.6452838,0.22624008,0.9180603,0.05932955
83,8,3,0.4042503,0.9146484,0.2172436,0.92586523,0.65944934
84,8,4,0.647508,0.7620586,0.21538289,0.9274151,0.7047833
85,8,5,0.84419495,0.5360363,0.21349536,0.92896503,0.69011563
86,8,6,0.2053504,0.97868854,0.20254605,0.93752545,0.38666907
87,8,7,0.09445327,0.9955293,0.20196408,0.93796027,0.450538
88,8,8,0.78503335,0.6194535,0.19097209,0.9458037,0.08278993
89,8,9,0.10817305,0.9941321,0.18677373,0.9486187,0.5511526
90,9,0,0.21139239,0.97740126,0.24782588,0.89712805,0.38300446
91,9,1,0.9121377,0.4098839,0.22836064,0.91614395,0.25112692
92,9,2,0.32749233,0.94485384,0.22234422,0.9215042,0.30868074
93,9,3,0.52075154,0.85370827,0.22387436,0.92016333,0.16647837
94,9,4,0.99190974,0.12694533,0.21083803,0.93110967,0.5594275
95,9,5,0.6658896,0.74605024,0.20532586,0.9354207,0.040080305
96,9,6,0.063546926,0.99797887,0.20115295,0.938563,0.5307629
97,9,7,0.9809722,0.19414853,0.19481012,0.94314384,0.58756036
98,9,8,0.98828363,0.15262856,0.19461687,0.9432798,0.5704561
99,9,9,0.53085446,0.847463,0.18499391,0.9497827,0.68915874
